player_id,display_name,score_l2,score_mahalanobis,score_pca_whitened_l2,rank_l2,rank_mahalanobis,rank_pca_whitened_l2,championships,finals_losses,finals_appearances,playoff_seasons,playoff_performance,playoff_depth_total,team_strength_index,championship_credit,finals_loss_debit,championship_net,max_consecutive_championships,repeat_titles_score,stat_outlier_z,clutch_penalty,score_goat_index,rank_goat_index
unselwe01,Wes Unseld,2.7362726577429384,4.260403626061539,3.3387861780869326,20,56,44,1,3,4,12,2.33522955197188,28.022754623662564,3.5735023169937477,2.54643960405172,6.667976164660389,-4.121536560608669,1.0,1.0,-1.0368130605859078,0.0,4.7813239742999665,82
georgpa01,Paul George,3.968906243818442,4.161611833785963,3.3986073452665564,58,53,45,0,0,0,12,1.4991577029820269,17.989892435784324,-1.9710611118322046,0.0,0.0,0.0,0.0,0.0,-0.04167359948229631,0.5282348044525084,3.6363130072701852,58
gilmoar01,Artis Gilmore,3.4791131676138156,3.6819303220646984,3.404857842441324,44,38,46,0,0,0,10,1.4382337193032781,14.382337193032782,-2.038736092264365,0.0,0.0,0.0,0.0,0.0,-0.09010464549831651,0.6383473994913265,3.692114172212421,59
mutomdi01,Dikembe Mutombo,2.912227808238605,3.784657294682261,3.4247626284970454,25,42,47,0,1,1,12,1.4816839322533557,17.78020718704027,-1.413300878765419,0.0,0.65,-0.65,0.0,0.0,-0.6951874140019049,0.2682192294007294,3.7729612817273734,62
kiddja01,Jason Kidd,3.7642405886623234,4.424612759925924,3.446194970619435,50,60,48,1,2,3,15,1.9956665540313248,29.934998310469872,-3.721572191063276,2.603580577992531,1.3,1.3035805779925311,1.0,1.0,-0.01299018218672728,0.0,2.989941768322049,44
gasolpa01,Pau Gasol,3.809046578898313,4.144228137433133,3.4610542508735365,52,51,49,2,0,2,11,2.05721115653168,22.62932272184848,-3.5145428022978376,4.076063124195075,0.0,4.076063124195075,2.0,2.75,-0.08683233302235766,0.00743908616722529,2.0377797461805116,18
ginobma01,Manu Ginóbili,4.055540947722953,3.4574246495575065,3.475889099797566,60,31,50,4,1,5,16,2.676677980083128,42.82684768133005,-4.97158875688143,9.303055083947694,0.65,8.653055083947693,1.0,4.0,0.059249983571215345,0.0,0.4473198204158737,4
rodmade01,Dennis Rodman,2.6352736116893682,6.059668274078867,3.5178313473058007,16,86,51,5,1,6,12,1.9703992799300931,23.64479135916112,0.7911650812582699,5.232891744737535,0.7970875486704806,4.435804196067054,3.0,8.75,-1.2772520739011926,0.0,1.965299878682332,15
wallabe01,Ben Wallace,3.355070663586389,5.1973347199254505,3.5242389769278275,41,73,52,1,1,2,8,1.6073585303891251,12.858868243113001,-1.2595549007984614,1.0,0.7187072381563385,0.2812927618436615,1.0,1.0,-0.5053891899578008,0.06924165123031638,3.456945253336188,55
mournal01,Alonzo Mourning,3.2630891947443894,3.5911807789453993,3.5458641311479715,38,34,53,1,0,1,11,1.5193611808790513,16.712972989669563,-0.9546115510547071,2.476451588404744,0.0,2.476451588404744,1.0,1.0,-0.5833109733741961,0.0,2.6791060752063114,34
drexlcl01,Clyde Drexler,4.45083719186244,4.1036841220294065,3.6043692737848736,67,50,54,0,2,2,14,1.223435953479074,17.128103348707036,1.7094198469921236,0.0,2.2367801747855385,-2.2367801747855385,0.0,0.0,0.4922936981324395,0.7232196391689468,4.712691172585838,81
garneke01,Kevin Garnett,4.642762227984956,5.301091512475765,3.606304792081569,69,74,55,1,1,2,15,1.8392628596789975,27.588942895184964,-3.443317752654268,2.30388711903876,0.65,1.6538871190387603,1.0,1.0,0.4907074670028406,0.13196677105643226,3.0868293473933974,47
lillada01,Damian Lillard,4.342800730629702,4.2075810570364665,3.607523622381888,65,54,56,0,0,0,10,1.3521621431759812,13.521621431759812,0.16299751490348519,0.0,0.0,0.0,0.0,0.0,0.45154358317404025,0.8513094981223152,3.9906128965369296,67
webbech01,Chris Webber,3.905107486360862,4.006421117702831,3.6115258976895555,56,47,57,0,0,0,8,1.803528261851291,14.428226094810327,-5.356855079008606,0.0,0.0,0.0,0.0,0.0,-0.3450914604084639,0.3071277911151578,3.7497334036913763,60
millere01,Reggie Miller,3.856805395300036,4.348180454620315,3.6223670997431037,55,58,58,0,1,1,15,1.3197189041593067,19.7957835623896,0.08620716696437979,0.0,0.65,-0.65,0.0,0.0,0.050908405369030865,0.6995327534918061,4.164656838814416,72
nowitdi01,Dirk Nowitzki,4.504934564670273,4.551161064709998,3.6414642815536857,68,63,59,1,1,2,15,1.8568803949023864,27.853205923535796,-3.6014487850765033,2.603580577992531,1.197134569662866,1.4064460083296653,1.0,1.0,0.4640249583884029,0.13949434179305384,3.211980632445177,49
westbru01,Russell Westbrook,3.9297418405363698,3.753728709186306,3.6768529045615153,57,40,60,0,1,1,13,1.3675917975738678,17.77869336846028,0.32797974222733733,0.0,0.65,-0.65,0.0,0.0,-0.25922954113041063,0.20636275854531963,3.997216145906909,68
daughbr01,Brad Daugherty,4.139675548185606,4.25265032598678,3.7238371964996984,62,55,61,0,0,0,6,1.1293273953616254,6.775964372169752,-0.47820916033540745,0.0,0.0,0.0,0.0,0.0,-0.10767025670929349,0.6724991000228809,4.026461791509995,70
curryst01,Stephen Curry,4.877937129072968,4.930055012165211,3.7525929354235887,71,69,62,4,2,6,10,2.5512984902735005,25.512984902735006,-0.6037866869383891,6.380986961875279,2.3212193299782458,4.059767631897033,2.0,4.75,0.809520098615551,0.0,2.331674264259627,25
bookede01,Devin Booker,3.84617665156826,3.892891058549504,3.763671539710012,54,44,63,0,1,1,4,1.25,5.0,3.7099999141551048,0.0,1.3043381402923866,-1.3043381402923866,0.0,0.0,-0.37304405655199524,0.3674281553328605,4.385532558712134,76
dantlad01,Adrian Dantley,4.054448424366582,3.8934961978461686,3.810643170564393,59,45,64,0,1,1,8,1.4068681479171223,11.254945183336979,-1.304714501603775,0.0,0.7970875486704806,-0.7970875486704806,0.0,0.0,0.16553730137448067,0.7258404214292239,4.416252002242212,78
mcgratr01,Tracy McGrady,4.13013353822448,4.453170123437645,3.8333568832071907,61,61,65,0,0,0,9,1.6704219051875393,15.033797146687855,-4.46947936791693,0.0,0.0,0.0,0.0,0.0,-0.1004824118497665,0.41255483711325025,4.019006559908154,69
tatumja01,Jayson Tatum,4.896885915417971,5.374662027352366,3.8437199185029276,72,77,66,1,1,2,8,1.612417250828508,12.899338006628064,1.348438552954755,1.0,0.65,0.35,1.0,1.0,0.6650188573658367,0.40946646878139453,3.905479829454555,63
nashst01,Steve Nash,3.4375107240122107,4.102172333335178,3.8699202326121416,43,49,67,0,0,0,12,1.4011208462665348,16.813450155198417,-2.4212951058268093,0.0,0.0,0.0,0.0,0.0,-0.39501224669007745,0.11749746318762448,3.9227940910465726,64
pippesc01,Scottie Pippen,4.26424174022188,4.566300322860076,3.9527378141910656,64,64,68,6,0,6,16,1.7973662010259497,28.757859216415195,1.2351837220801802,6.0,0.0,6.0,3.0,10.5,0.011448782893293121,0.0,1.852737814191066,12
